time,base_time,time_offset,lat,lon,alt
2023-06-15 17:29:21,2023-06-15,2023-06-15 17:29:21,38.92202,-106.9509,2764.0
2023-06-15 17:29:22,2023-06-15,2023-06-15 17:29:22,38.92202,-106.9509,2764.0
2023-06-15 17:29:23,2023-06-15,2023-06-15 17:29:23,38.92202,-106.9509,2764.0
2023-06-15 17:29:24,2023-06-15,2023-06-15 17:29:24,38.92202,-106.9509,2764.0
2023-06-15 17:29:25,2023-06-15,2023-06-15 17:29:25,38.92202,-106.9509,2764.0
2023-06-15 17:29:26,2023-06-15,2023-06-15 17:29:26,38.92202,-106.9509,2764.0
2023-06-15 17:29:27,2023-06-15,2023-06-15 17:29:27,38.92202,-106.9509,2764.0
2023-06-15 17:29:28,2023-06-15,2023-06-15 17:29:28,38.92202,-106.9509,2764.0
2023-06-15 17:29:29,2023-06-15,2023-06-15 17:29:29,38.92202,-106.9509,2764.0
2023-06-15 17:29:30,2023-06-15,2023-06-15 17:29:30,38.92202,-106.9509,2764.0
2023-06-15 17:29:31,2023-06-15,2023-06-15 17:29:31,38.92202,-106.9509,2764.0
2023-06-15 17:29:32,2023-06-15,2023-06-15 17:29:32,38.92202,-106.9509,2764.0
2023-06-15 17:29:33,2023-06-15,2023-06-15 17:29:33,38.92202,-106.9509,2764.0
2023-06-15 17:29:34,2023-06-15,2023-06-15 17:29:34,38.92202,-106.9509,2764.0
2023-06-15 17:29:35,2023-06-15,2023-06-15 17:29:35,38.92202,-106.9509,2764.0
2023-06-15 17:29:36,2023-06-15,2023-06-15 17:29:36,38.92202,-106.9509,2764.0
2023-06-15 17:29:37,2023-06-15,2023-06-15 17:29:37,38.92202,-106.9509,2764.0
2023-06-15 17:29:38,2023-06-15,2023-06-15 17:29:38,38.92202,-106.9509,2764.0
2023-06-15 17:29:39,2023-06-15,2023-06-15 17:29:39,38.92202,-106.9509,2764.0
2023-06-15 17:29:40,2023-06-15,2023-06-15 17:29:40,38.92202,-106.9509,2764.0
2023-06-15 17:29:41,2023-06-15,2023-06-15 17:29:41,38.92202,-106.9509,2764.0
2023-06-15 17:29:42,2023-06-15,2023-06-15 17:29:42,38.92202,-106.9509,2764.0
2023-06-15 17:29:43,2023-06-15,2023-06-15 17:29:43,38.92202,-106.9509,2764.0
2023-06-15 17:29:44,2023-06-15,2023-06-15 17:29:44,38.92202,-106.9509,2764.0
2023-06-15 17:29:45,2023-06-15,2023-06-15 17:29:45,38.92202,-106.9509,2764.0
2023-06-15 17:29:46,2023-06-15,2023-06-15 17:29:46,38.92202,-106.9509,2764.0
