time,base_time,time_offset,lat,lon,alt
2023-06-11 00:27:48,2023-06-11,2023-06-11 00:27:48,38.92202,-106.9509,2764.0
2023-06-11 00:27:49,2023-06-11,2023-06-11 00:27:49,38.92202,-106.9509,2764.0
2023-06-11 00:27:50,2023-06-11,2023-06-11 00:27:50,38.92202,-106.9509,2764.0
2023-06-11 00:27:51,2023-06-11,2023-06-11 00:27:51,38.92202,-106.9509,2764.0
2023-06-11 00:27:52,2023-06-11,2023-06-11 00:27:52,38.92202,-106.9509,2764.0
2023-06-11 00:27:53,2023-06-11,2023-06-11 00:27:53,38.92202,-106.9509,2764.0
2023-06-11 00:27:54,2023-06-11,2023-06-11 00:27:54,38.92202,-106.9509,2764.0
2023-06-11 00:27:55,2023-06-11,2023-06-11 00:27:55,38.92202,-106.9509,2764.0
2023-06-11 00:27:56,2023-06-11,2023-06-11 00:27:56,38.92202,-106.9509,2764.0
2023-06-11 00:27:57,2023-06-11,2023-06-11 00:27:57,38.92202,-106.9509,2764.0
2023-06-11 00:27:58,2023-06-11,2023-06-11 00:27:58,38.92202,-106.9509,2764.0
2023-06-11 00:27:59,2023-06-11,2023-06-11 00:27:59,38.92202,-106.9509,2764.0
2023-06-11 00:28:00,2023-06-11,2023-06-11 00:28:00,38.92202,-106.9509,2764.0
2023-06-11 00:28:01,2023-06-11,2023-06-11 00:28:01,38.92202,-106.9509,2764.0
2023-06-11 00:28:02,2023-06-11,2023-06-11 00:28:02,38.92202,-106.9509,2764.0
2023-06-11 00:28:03,2023-06-11,2023-06-11 00:28:03,38.92202,-106.9509,2764.0
2023-06-11 00:28:04,2023-06-11,2023-06-11 00:28:04,38.92202,-106.9509,2764.0
2023-06-11 00:28:05,2023-06-11,2023-06-11 00:28:05,38.92202,-106.9509,2764.0
2023-06-11 00:28:06,2023-06-11,2023-06-11 00:28:06,38.92202,-106.9509,2764.0
2023-06-11 00:28:07,2023-06-11,2023-06-11 00:28:07,38.92202,-106.9509,2764.0
2023-06-11 00:28:08,2023-06-11,2023-06-11 00:28:08,38.92202,-106.9509,2764.0
2023-06-11 00:28:09,2023-06-11,2023-06-11 00:28:09,38.92202,-106.9509,2764.0
2023-06-11 00:28:10,2023-06-11,2023-06-11 00:28:10,38.92202,-106.9509,2764.0
2023-06-11 00:28:11,2023-06-11,2023-06-11 00:28:11,38.92202,-106.9509,2764.0
2023-06-11 00:28:12,2023-06-11,2023-06-11 00:28:12,38.92202,-106.9509,2764.0
2023-06-11 00:28:13,2023-06-11,2023-06-11 00:28:13,38.92202,-106.9509,2764.0
2023-06-11 00:28:14,2023-06-11,2023-06-11 00:28:14,38.92202,-106.9509,2764.0
2023-06-11 00:28:15,2023-06-11,2023-06-11 00:28:15,38.92202,-106.9509,2764.0
2023-06-11 00:28:16,2023-06-11,2023-06-11 00:28:16,38.92202,-106.9509,2764.0
2023-06-11 00:28:17,2023-06-11,2023-06-11 00:28:17,38.92202,-106.9509,2764.0
