time,base_time,time_offset,lat,lon,alt
2023-06-10 16:47:47,2023-06-10,2023-06-10 16:47:47,38.92202,-106.9509,2764.0
2023-06-10 16:47:48,2023-06-10,2023-06-10 16:47:48,38.92202,-106.9509,2764.0
2023-06-10 16:47:49,2023-06-10,2023-06-10 16:47:49,38.92202,-106.9509,2764.0
2023-06-10 16:47:50,2023-06-10,2023-06-10 16:47:50,38.92202,-106.9509,2764.0
2023-06-10 16:47:51,2023-06-10,2023-06-10 16:47:51,38.92202,-106.9509,2764.0
2023-06-10 16:47:52,2023-06-10,2023-06-10 16:47:52,38.92202,-106.9509,2764.0
2023-06-10 16:47:53,2023-06-10,2023-06-10 16:47:53,38.92202,-106.9509,2764.0
2023-06-10 16:47:54,2023-06-10,2023-06-10 16:47:54,38.92202,-106.9509,2764.0
2023-06-10 16:47:55,2023-06-10,2023-06-10 16:47:55,38.92202,-106.9509,2764.0
2023-06-10 16:47:56,2023-06-10,2023-06-10 16:47:56,38.92202,-106.9509,2764.0
2023-06-10 16:47:57,2023-06-10,2023-06-10 16:47:57,38.92202,-106.9509,2764.0
2023-06-10 16:47:58,2023-06-10,2023-06-10 16:47:58,38.92202,-106.9509,2764.0
2023-06-10 16:47:59,2023-06-10,2023-06-10 16:47:59,38.92202,-106.9509,2764.0
2023-06-10 16:48:00,2023-06-10,2023-06-10 16:48:00,38.92202,-106.9509,2764.0
2023-06-10 16:48:01,2023-06-10,2023-06-10 16:48:01,38.92202,-106.9509,2764.0
2023-06-10 16:48:02,2023-06-10,2023-06-10 16:48:02,38.92202,-106.9509,2764.0
2023-06-10 16:48:03,2023-06-10,2023-06-10 16:48:03,38.92202,-106.9509,2764.0
2023-06-10 16:48:04,2023-06-10,2023-06-10 16:48:04,38.92202,-106.9509,2764.0
2023-06-10 16:48:05,2023-06-10,2023-06-10 16:48:05,38.92202,-106.9509,2764.0
2023-06-10 16:48:06,2023-06-10,2023-06-10 16:48:06,38.92202,-106.9509,2764.0
2023-06-10 16:48:07,2023-06-10,2023-06-10 16:48:07,38.92202,-106.9509,2764.0
2023-06-10 16:48:08,2023-06-10,2023-06-10 16:48:08,38.92202,-106.9509,2764.0
2023-06-10 16:48:09,2023-06-10,2023-06-10 16:48:09,38.92202,-106.9509,2764.0
2023-06-10 16:48:10,2023-06-10,2023-06-10 16:48:10,38.92202,-106.9509,2764.0
2023-06-10 16:48:11,2023-06-10,2023-06-10 16:48:11,38.92202,-106.9509,2764.0
2023-06-10 16:48:12,2023-06-10,2023-06-10 16:48:12,38.92202,-106.9509,2764.0
2023-06-10 16:48:13,2023-06-10,2023-06-10 16:48:13,38.92202,-106.9509,2764.0
2023-06-10 16:48:14,2023-06-10,2023-06-10 16:48:14,38.92202,-106.9509,2764.0
2023-06-10 16:48:15,2023-06-10,2023-06-10 16:48:15,38.92202,-106.9509,2764.0
2023-06-10 16:48:16,2023-06-10,2023-06-10 16:48:16,38.92202,-106.9509,2764.0
2023-06-10 16:48:17,2023-06-10,2023-06-10 16:48:17,38.92202,-106.9509,2764.0
2023-06-10 16:48:18,2023-06-10,2023-06-10 16:48:18,38.92202,-106.9509,2764.0
2023-06-10 16:48:19,2023-06-10,2023-06-10 16:48:19,38.92202,-106.9509,2764.0
2023-06-10 16:48:20,2023-06-10,2023-06-10 16:48:20,38.92202,-106.9509,2764.0
2023-06-10 16:48:21,2023-06-10,2023-06-10 16:48:21,38.92202,-106.9509,2764.0
2023-06-10 16:48:22,2023-06-10,2023-06-10 16:48:22,38.92202,-106.9509,2764.0
2023-06-10 16:48:23,2023-06-10,2023-06-10 16:48:23,38.92202,-106.9509,2764.0
2023-06-10 16:48:24,2023-06-10,2023-06-10 16:48:24,38.92202,-106.9509,2764.0
2023-06-10 16:48:25,2023-06-10,2023-06-10 16:48:25,38.92202,-106.9509,2764.0
2023-06-10 16:48:26,2023-06-10,2023-06-10 16:48:26,38.92202,-106.9509,2764.0
2023-06-10 16:48:27,2023-06-10,2023-06-10 16:48:27,38.92202,-106.9509,2764.0
2023-06-10 16:48:28,2023-06-10,2023-06-10 16:48:28,38.92202,-106.9509,2764.0
2023-06-10 16:48:29,2023-06-10,2023-06-10 16:48:29,38.92202,-106.9509,2764.0
2023-06-10 16:48:30,2023-06-10,2023-06-10 16:48:30,38.92202,-106.9509,2764.0
2023-06-10 16:48:31,2023-06-10,2023-06-10 16:48:31,38.92202,-106.9509,2764.0
2023-06-10 16:48:32,2023-06-10,2023-06-10 16:48:32,38.92202,-106.9509,2764.0
2023-06-10 16:48:33,2023-06-10,2023-06-10 16:48:33,38.92202,-106.9509,2764.0
2023-06-10 16:48:34,2023-06-10,2023-06-10 16:48:34,38.92202,-106.9509,2764.0
2023-06-10 16:48:35,2023-06-10,2023-06-10 16:48:35,38.92202,-106.9509,2764.0
2023-06-10 16:48:36,2023-06-10,2023-06-10 16:48:36,38.92202,-106.9509,2764.0
2023-06-10 16:48:37,2023-06-10,2023-06-10 16:48:37,38.92202,-106.9509,2764.0
2023-06-10 16:48:38,2023-06-10,2023-06-10 16:48:38,38.92202,-106.9509,2764.0
2023-06-10 16:48:39,2023-06-10,2023-06-10 16:48:39,38.92202,-106.9509,2764.0
2023-06-10 16:48:40,2023-06-10,2023-06-10 16:48:40,38.92202,-106.9509,2764.0
2023-06-10 16:48:41,2023-06-10,2023-06-10 16:48:41,38.92202,-106.9509,2764.0
2023-06-10 16:48:42,2023-06-10,2023-06-10 16:48:42,38.92202,-106.9509,2764.0
2023-06-10 16:48:43,2023-06-10,2023-06-10 16:48:43,38.92202,-106.9509,2764.0
2023-06-10 16:48:44,2023-06-10,2023-06-10 16:48:44,38.92202,-106.9509,2764.0
2023-06-10 16:48:45,2023-06-10,2023-06-10 16:48:45,38.92202,-106.9509,2764.0
2023-06-10 16:48:46,2023-06-10,2023-06-10 16:48:46,38.92202,-106.9509,2764.0
2023-06-10 16:48:47,2023-06-10,2023-06-10 16:48:47,38.92202,-106.9509,2764.0
2023-06-10 16:48:48,2023-06-10,2023-06-10 16:48:48,38.92202,-106.9509,2764.0
2023-06-10 16:48:49,2023-06-10,2023-06-10 16:48:49,38.92202,-106.9509,2764.0
2023-06-10 16:48:50,2023-06-10,2023-06-10 16:48:50,38.92202,-106.9509,2764.0
2023-06-10 16:48:51,2023-06-10,2023-06-10 16:48:51,38.92202,-106.9509,2764.0
2023-06-10 16:48:52,2023-06-10,2023-06-10 16:48:52,38.92202,-106.9509,2764.0
2023-06-10 16:48:53,2023-06-10,2023-06-10 16:48:53,38.92202,-106.9509,2764.0
2023-06-10 16:48:54,2023-06-10,2023-06-10 16:48:54,38.92202,-106.9509,2764.0
2023-06-10 16:48:55,2023-06-10,2023-06-10 16:48:55,38.92202,-106.9509,2764.0
2023-06-10 16:48:56,2023-06-10,2023-06-10 16:48:56,38.92202,-106.9509,2764.0
2023-06-10 16:48:57,2023-06-10,2023-06-10 16:48:57,38.92202,-106.9509,2764.0
2023-06-10 16:48:58,2023-06-10,2023-06-10 16:48:58,38.92202,-106.9509,2764.0
2023-06-10 16:48:59,2023-06-10,2023-06-10 16:48:59,38.92202,-106.9509,2764.0
2023-06-10 16:49:00,2023-06-10,2023-06-10 16:49:00,38.92202,-106.9509,2764.0
2023-06-10 16:49:01,2023-06-10,2023-06-10 16:49:01,38.92202,-106.9509,2764.0
2023-06-10 16:49:02,2023-06-10,2023-06-10 16:49:02,38.92202,-106.9509,2764.0
2023-06-10 16:49:03,2023-06-10,2023-06-10 16:49:03,38.92202,-106.9509,2764.0
2023-06-10 16:49:04,2023-06-10,2023-06-10 16:49:04,38.92202,-106.9509,2764.0
2023-06-10 16:49:05,2023-06-10,2023-06-10 16:49:05,38.92202,-106.9509,2764.0
2023-06-10 16:49:06,2023-06-10,2023-06-10 16:49:06,38.92202,-106.9509,2764.0
2023-06-10 16:49:07,2023-06-10,2023-06-10 16:49:07,38.92202,-106.9509,2764.0
2023-06-10 16:49:08,2023-06-10,2023-06-10 16:49:08,38.92202,-106.9509,2764.0
2023-06-10 16:49:09,2023-06-10,2023-06-10 16:49:09,38.92202,-106.9509,2764.0
2023-06-10 16:49:10,2023-06-10,2023-06-10 16:49:10,38.92202,-106.9509,2764.0
2023-06-10 16:49:11,2023-06-10,2023-06-10 16:49:11,38.92202,-106.9509,2764.0
2023-06-10 16:49:12,2023-06-10,2023-06-10 16:49:12,38.92202,-106.9509,2764.0
2023-06-10 16:49:13,2023-06-10,2023-06-10 16:49:13,38.92202,-106.9509,2764.0
2023-06-10 16:49:14,2023-06-10,2023-06-10 16:49:14,38.92202,-106.9509,2764.0
2023-06-10 16:49:15,2023-06-10,2023-06-10 16:49:15,38.92202,-106.9509,2764.0
2023-06-10 16:49:16,2023-06-10,2023-06-10 16:49:16,38.92202,-106.9509,2764.0
2023-06-10 16:49:17,2023-06-10,2023-06-10 16:49:17,38.92202,-106.9509,2764.0
2023-06-10 16:49:18,2023-06-10,2023-06-10 16:49:18,38.92202,-106.9509,2764.0
2023-06-10 16:49:19,2023-06-10,2023-06-10 16:49:19,38.92202,-106.9509,2764.0
2023-06-10 16:49:20,2023-06-10,2023-06-10 16:49:20,38.92202,-106.9509,2764.0
2023-06-10 16:49:21,2023-06-10,2023-06-10 16:49:21,38.92202,-106.9509,2764.0
2023-06-10 16:49:22,2023-06-10,2023-06-10 16:49:22,38.92202,-106.9509,2764.0
2023-06-10 16:49:23,2023-06-10,2023-06-10 16:49:23,38.92202,-106.9509,2764.0
2023-06-10 16:49:24,2023-06-10,2023-06-10 16:49:24,38.92202,-106.9509,2764.0
2023-06-10 16:49:25,2023-06-10,2023-06-10 16:49:25,38.92202,-106.9509,2764.0
2023-06-10 16:49:26,2023-06-10,2023-06-10 16:49:26,38.92202,-106.9509,2764.0
2023-06-10 16:49:27,2023-06-10,2023-06-10 16:49:27,38.92202,-106.9509,2764.0
2023-06-10 16:49:28,2023-06-10,2023-06-10 16:49:28,38.92202,-106.9509,2764.0
2023-06-10 16:49:29,2023-06-10,2023-06-10 16:49:29,38.92202,-106.9509,2764.0
2023-06-10 16:49:30,2023-06-10,2023-06-10 16:49:30,38.92202,-106.9509,2764.0
2023-06-10 16:49:31,2023-06-10,2023-06-10 16:49:31,38.92202,-106.9509,2764.0
2023-06-10 16:49:32,2023-06-10,2023-06-10 16:49:32,38.92202,-106.9509,2764.0
2023-06-10 16:49:33,2023-06-10,2023-06-10 16:49:33,38.92202,-106.9509,2764.0
2023-06-10 16:49:34,2023-06-10,2023-06-10 16:49:34,38.92202,-106.9509,2764.0
2023-06-10 16:49:35,2023-06-10,2023-06-10 16:49:35,38.92202,-106.9509,2764.0
2023-06-10 16:49:36,2023-06-10,2023-06-10 16:49:36,38.92202,-106.9509,2764.0
2023-06-10 16:49:37,2023-06-10,2023-06-10 16:49:37,38.92202,-106.9509,2764.0
2023-06-10 16:49:38,2023-06-10,2023-06-10 16:49:38,38.92202,-106.9509,2764.0
2023-06-10 16:49:39,2023-06-10,2023-06-10 16:49:39,38.92202,-106.9509,2764.0
2023-06-10 16:49:40,2023-06-10,2023-06-10 16:49:40,38.92202,-106.9509,2764.0
2023-06-10 16:49:41,2023-06-10,2023-06-10 16:49:41,38.92202,-106.9509,2764.0
2023-06-10 16:49:42,2023-06-10,2023-06-10 16:49:42,38.92202,-106.9509,2764.0
2023-06-10 16:49:43,2023-06-10,2023-06-10 16:49:43,38.92202,-106.9509,2764.0
2023-06-10 16:49:44,2023-06-10,2023-06-10 16:49:44,38.92202,-106.9509,2764.0
